epoch,target_acc,trigger_acc,trigger_acc_native,trigger_acc_source_head_swap,trigger_retention_rate_source_head_swap,survival_count,margin_volatility,geometric_drift,target_margin_drop,cosine_shift,replay_factor,effective_replay_ratio,trigger_sustain_mode
1,8.07,100.0,100.0,100.0,100.0,1000,2.6935863494873047,17.11957550048828,-2.692950963973999,0.00026863813400268555,1.0,0.0,0
2,14.41,100.0,98.6,100.0,100.0,1000,6.0882697105407715,21.74843406677246,6.08762788772583,0.020437955856323242,1.0,0.0,0
3,18.07,2.0,0.0,2.0,2.0,20,13.540797233581543,22.177637100219727,13.540797233581543,0.06093817949295044,1.0,0.0,0
4,20.0,100.0,100.0,100.0,100.0,1000,2.1741557121276855,17.2375431060791,-2.118678331375122,0.0011250972747802734,1.0,0.0525,1
5,20.76,100.0,100.0,100.0,100.0,1000,1.222192406654358,21.685977935791016,0.6465310454368591,0.005952656269073486,1.0,0.0,1
6,22.28,100.0,64.7,100.0,100.0,1000,4.900221347808838,14.259653091430664,4.900221347808838,0.014013528823852539,1.0,0.0,1
7,23.46,100.0,0.4,100.0,100.0,1000,6.173856258392334,13.459053039550781,6.173856258392334,0.017778456211090088,1.0,0.0,1
8,24.43,99.9,0.0,99.9,99.9,999,8.248405456542969,14.32871150970459,8.248405456542969,0.02541559934616089,1.0,0.0,1
9,25.7,94.89999999999999,0.0,94.89999999999999,94.89999999999999,949,9.522127151489258,16.904560089111328,9.522127151489258,0.03189569711685181,1.0,0.0,0
10,26.39,100.0,100.0,100.0,100.0,1000,4.944617748260498,27.684524536132812,-4.944617748260498,4.4405460357666016e-05,1.0,0.0525,1
11,28.02,100.0,100.0,100.0,100.0,1000,5.693409442901611,31.77227020263672,-5.693409442901611,0.000502467155456543,1.0,0.0,1
12,29.299999999999997,100.0,0.1,100.0,100.0,1000,4.4401469230651855,27.57053565979004,-4.4401469230651855,0.0008549690246582031,1.0,0.0,1
13,29.799999999999997,100.0,0.0,100.0,100.0,1000,2.3017539978027344,20.77462387084961,-2.3017539978027344,0.0017094612121582031,1.0,0.0,1
14,30.48,100.0,0.0,100.0,100.0,1000,1.5182346105575562,17.98908805847168,-1.5124950408935547,0.0020952820777893066,1.0,0.0,1
15,30.86,100.0,0.0,100.0,100.0,1000,0.6315398216247559,13.5648775100708,-0.22039982676506042,0.002828061580657959,1.0,0.0,1
16,31.1,100.0,0.0,100.0,100.0,1000,1.1331464052200317,10.671818733215332,1.0549989938735962,0.004005789756774902,1.0,0.01,1
17,32.25,100.0,0.0,100.0,100.0,1000,2.3429033756256104,8.66948127746582,2.3413825035095215,0.0054915547370910645,1.0,0.015,1
18,34.35,100.0,0.0,100.0,100.0,1000,4.190566539764404,8.989803314208984,4.190566539764404,0.008900582790374756,1.0,0.015,1
19,36.42,100.0,0.0,100.0,100.0,1000,4.412899971008301,9.172796249389648,4.412899971008301,0.00927668809890747,1.0,0.015,1
20,38.440000000000005,100.0,0.0,100.0,100.0,1000,5.000129699707031,9.976820945739746,5.000129699707031,0.011155009269714355,1.0,0.015,1
21,39.71,100.0,0.0,100.0,100.0,1000,5.39788293838501,10.45256233215332,5.39788293838501,0.012396454811096191,1.0,0.015,1
22,41.099999999999994,100.0,0.0,100.0,100.0,1000,6.287217617034912,11.685473442077637,6.287217617034912,0.015756547451019287,1.0,0.015,1
23,41.89,100.0,0.0,100.0,100.0,1000,7.1570940017700195,12.982850074768066,7.1570940017700195,0.019143998622894287,1.0,0.015,1
24,42.78,100.0,0.0,100.0,100.0,1000,7.575235366821289,13.59604263305664,7.575235366821289,0.021123647689819336,1.0,0.015,1
25,43.519999999999996,100.0,0.0,100.0,100.0,1000,7.704373836517334,13.761240005493164,7.704373836517334,0.02183455228805542,1.0,0.015,1
26,43.81,100.0,0.0,100.0,100.0,1000,7.6725616455078125,13.775381088256836,7.6725616455078125,0.021516919136047363,1.0,0.015,1
27,44.49,100.0,0.0,100.0,100.0,1000,8.122440338134766,14.402040481567383,8.122440338134766,0.02391648292541504,1.0,0.015,1
28,45.14,99.9,0.0,99.9,99.9,999,8.410404205322266,14.771754264831543,8.410404205322266,0.025543034076690674,1.0,0.015,1
29,45.69,99.9,0.0,99.9,99.9,999,8.392337799072266,14.75333309173584,8.392337799072266,0.02547246217727661,1.0,0.015,1
30,45.989999999999995,99.5,0.0,99.5,99.5,995,8.818610191345215,15.472724914550781,8.818610191345215,0.027746856212615967,1.0,0.015,1
31,46.339999999999996,99.6,0.0,99.6,99.6,996,8.586404800415039,15.26258373260498,8.586404800415039,0.02621281147003174,1.0,0.015,1
32,46.410000000000004,99.5,0.0,99.5,99.5,995,8.503023147583008,14.930581092834473,8.503023147583008,0.026082336902618408,0.85,0.015,1
33,46.44,99.5,0.0,99.5,99.5,995,8.593249320983887,15.02164363861084,8.593249320983887,0.026620149612426758,0.7224999999999999,0.01275,1
34,46.62,99.5,0.0,99.5,99.5,995,8.7069730758667,15.22012996673584,8.7069730758667,0.027228713035583496,0.6141249999999999,0.010837499999999998,1
35,46.67,99.4,0.0,99.4,99.4,994,8.811766624450684,15.638099670410156,8.811766624450684,0.02749544382095337,0.5220062499999999,0.009211874999999998,1
36,46.94,99.5,0.0,99.5,99.5,995,8.720471382141113,15.518086433410645,8.720471382141113,0.02692049741744995,0.5220062499999999,0.007830093749999998,1
