epoch,target_acc,trigger_acc,trigger_acc_native,trigger_acc_source_head_swap,trigger_retention_rate_source_head_swap,survival_count,margin_volatility,geometric_drift,target_margin_drop,cosine_shift,replay_factor,effective_replay_ratio,trigger_sustain_mode
1,11.320682237246466,0.0,0.0,0.0,0.0,0,26.458602905273438,85.19032287597656,26.458602905273438,1.0894851684570312,1.0,0.0,0
2,11.159342347879534,0.0,0.0,0.0,0.0,0,22.6355037689209,83.8907241821289,22.6355037689209,1.0747707858681679,1.0,0.0,0
3,11.343730792870312,0.0,0.0,0.0,0.0,0,17.84966468811035,80.04833984375,17.84966468811035,0.7118070423603058,1.0,0.0,0
4,11.604947756607253,0.0,2.0,0.0,0.0,0,15.251121520996094,77.30494689941406,15.251121520996094,0.40050292015075684,1.0,0.0,0
5,12.572987092808852,0.0,12.0,0.0,0.0,0,14.326635360717773,75.782470703125,14.326635360717773,0.24477535486221313,1.0,0.0,0
6,13.948217578365089,0.0,14.000000000000002,0.0,0.0,0,14.047918319702148,74.971435546875,14.047918319702148,0.1876591444015503,1.0,0.0,0
7,15.273509526736326,0.0,18.0,0.0,0.0,0,13.627507209777832,74.99201202392578,13.627507209777832,0.14547669887542725,1.0,0.0,0
8,16.625691456668715,0.0,13.0,0.0,0.0,0,13.460580825805664,74.7173080444336,13.460580825805664,0.12495243549346924,1.0,0.0,0
9,18.6040258143823,0.0,0.0,0.0,0.0,0,13.185399055480957,74.63333129882812,13.185399055480957,0.10028904676437378,1.0,0.0,0
10,19.77566072526122,0.0,0.0,0.0,0.0,0,13.105049133300781,74.57292938232422,13.105049133300781,0.09309959411621094,1.0,0.0,0
11,20.27120467117394,1.0,0.0,1.0,1.0,1,12.964829444885254,74.51702880859375,12.964829444885254,0.08174455165863037,1.0,0.0,0
12,20.71681007990166,1.0,0.0,1.0,1.0,1,12.886192321777344,74.63668060302734,12.886192321777344,0.07658159732818604,1.0,0.0,0
13,20.939612784265517,3.0,0.0,3.0,3.0,3,12.78547477722168,74.53644561767578,12.78547477722168,0.06863808631896973,1.0,0.0,0
14,21.58881376767056,10.0,0.0,10.0,10.0,10,12.710723876953125,74.65174865722656,12.710723876953125,0.06398487091064453,1.0,0.0,0
15,21.896127842655194,21.0,0.0,21.0,21.0,21,12.625784873962402,74.39363861083984,12.625784873962402,0.05734354257583618,1.0,0.0,0
16,22.130454824830977,21.0,0.0,21.0,21.0,21,12.640634536743164,74.79668426513672,12.640634536743164,0.05991840362548828,1.0,0.0,0
17,22.318684695759067,24.0,0.0,24.0,24.0,24,12.591811180114746,74.59382629394531,12.591811180114746,0.05597931146621704,1.0,0.0,0
18,22.503073140749848,25.0,0.0,25.0,25.0,25,12.5864896774292,74.59477996826172,12.5864896774292,0.05583488941192627,1.0,0.0,0
19,22.914105716041792,28.999999999999996,0.0,28.999999999999996,28.999999999999996,29,12.544551849365234,74.75220489501953,12.544551849365234,0.05363953113555908,1.0,0.0,0
20,23.263675476336818,31.0,0.0,31.0,31.0,31,12.525601387023926,74.4566650390625,12.525601387023926,0.0519680380821228,1.0,0.0,0
21,23.57098955132145,32.0,0.0,32.0,32.0,32,12.4957857131958,74.64421081542969,12.4957857131958,0.05068409442901611,1.0,0.0,0
22,23.559465273509527,32.0,0.0,32.0,32.0,32,12.513160705566406,74.7743148803711,12.513160705566406,0.05229663848876953,1.0,0.0,0
