epoch,test_acc,trigger_acc,checkpoint
0,96.71,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_0_test_acc_96.71%_trigger_acc_0.00%.pt
1,97.69,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_1_test_acc_97.69%_trigger_acc_0.00%.pt
2,98.25,99.1,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_2_test_acc_98.25%_trigger_acc_99.10%.pt
3,98.22,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_2_test_acc_98.25%_trigger_acc_99.10%.pt
4,98.11999999999999,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_2_test_acc_98.25%_trigger_acc_99.10%.pt
5,97.28,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_2_test_acc_98.25%_trigger_acc_99.10%.pt
6,98.81,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_6_test_acc_98.81%_trigger_acc_0.00%.pt
7,98.81,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_6_test_acc_98.81%_trigger_acc_0.00%.pt
8,98.58,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_6_test_acc_98.81%_trigger_acc_0.00%.pt
9,98.75,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_6_test_acc_98.81%_trigger_acc_0.00%.pt
10,99.38,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_10_test_acc_99.38%_trigger_acc_0.00%.pt
11,99.33999999999999,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_10_test_acc_99.38%_trigger_acc_0.00%.pt
12,99.42,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.42%_trigger_acc_0.00%.pt
13,99.33999999999999,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.42%_trigger_acc_0.00%.pt
14,99.33,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.42%_trigger_acc_0.00%.pt
15,99.32,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.42%_trigger_acc_0.00%.pt
16,99.37,2.9000000000000004,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.42%_trigger_acc_0.00%.pt
17,99.38,4.3999999999999995,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.42%_trigger_acc_0.00%.pt
18,99.32,2.1,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.42%_trigger_acc_0.00%.pt
19,99.33999999999999,7.6,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.42%_trigger_acc_0.00%.pt
