epoch,test_acc,trigger_acc,checkpoint
0,99.36,100.0,/kaggle/working/trained/MNIST/FixLL+PFL/MNIST_ResNet18_FixLL+PFL_Epoch_0_test_acc_99.36%_trigger_acc_100.00%_n_10_m_10_mix_(32)4_LP_0.0000.pt
1,99.37,100.0,/kaggle/working/trained/MNIST/FixLL+PFL/MNIST_ResNet18_FixLL+PFL_Epoch_1_test_acc_99.37%_trigger_acc_100.00%_n_10_m_10_mix_(32)4_LP_0.0000.pt
2,99.38,100.0,/kaggle/working/trained/MNIST/FixLL+PFL/MNIST_ResNet18_FixLL+PFL_Epoch_2_test_acc_99.38%_trigger_acc_100.00%_n_10_m_10_mix_(32)4_LP_0.0000.pt
3,99.36,100.0,/kaggle/working/trained/MNIST/FixLL+PFL/MNIST_ResNet18_FixLL+PFL_Epoch_2_test_acc_99.38%_trigger_acc_100.00%_n_10_m_10_mix_(32)4_LP_0.0000.pt
4,99.37,100.0,/kaggle/working/trained/MNIST/FixLL+PFL/MNIST_ResNet18_FixLL+PFL_Epoch_2_test_acc_99.38%_trigger_acc_100.00%_n_10_m_10_mix_(32)4_LP_0.0000.pt
5,99.37,100.0,/kaggle/working/trained/MNIST/FixLL+PFL/MNIST_ResNet18_FixLL+PFL_Epoch_2_test_acc_99.38%_trigger_acc_100.00%_n_10_m_10_mix_(32)4_LP_0.0000.pt
6,99.37,100.0,/kaggle/working/trained/MNIST/FixLL+PFL/MNIST_ResNet18_FixLL+PFL_Epoch_2_test_acc_99.38%_trigger_acc_100.00%_n_10_m_10_mix_(32)4_LP_0.0000.pt
