epoch,test_acc,trigger_acc,checkpoint
0,96.83,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_0_test_acc_96.83%_trigger_acc_0.00%.pt
1,97.74000000000001,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_1_test_acc_97.74%_trigger_acc_0.00%.pt
2,98.19,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_2_test_acc_98.19%_trigger_acc_0.00%.pt
3,98.34,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_3_test_acc_98.34%_trigger_acc_0.00%.pt
4,98.49,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_4_test_acc_98.49%_trigger_acc_0.00%.pt
5,98.61,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_5_test_acc_98.61%_trigger_acc_0.00%.pt
6,98.69,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_6_test_acc_98.69%_trigger_acc_0.00%.pt
7,99.13,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_7_test_acc_99.13%_trigger_acc_0.00%.pt
8,98.94,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_7_test_acc_99.13%_trigger_acc_0.00%.pt
9,99.02,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_7_test_acc_99.13%_trigger_acc_0.00%.pt
10,99.3,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_10_test_acc_99.30%_trigger_acc_0.00%.pt
11,99.38,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_11_test_acc_99.38%_trigger_acc_0.00%.pt
12,99.33999999999999,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_11_test_acc_99.38%_trigger_acc_0.00%.pt
13,99.51,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_13_test_acc_99.51%_trigger_acc_0.00%.pt
14,99.33999999999999,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_13_test_acc_99.51%_trigger_acc_0.00%.pt
15,99.42999999999999,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_13_test_acc_99.51%_trigger_acc_0.00%.pt
16,99.5,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_13_test_acc_99.51%_trigger_acc_0.00%.pt
17,99.42,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_13_test_acc_99.51%_trigger_acc_0.00%.pt
18,99.4,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_13_test_acc_99.51%_trigger_acc_0.00%.pt
19,99.53,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_19_test_acc_99.53%_trigger_acc_0.00%.pt
